CustomerID,Age,Annual_Income,Spending_Score,Purchase_Frequency,Avg_Order_Value,Gender,Region
CUST0001,56,23343,81,46,198.48,Female,East
CUST0002,69,33500,5,43,413.02,Female,East
CUST0003,46,73222,29,16,141.2,Male,North
CUST0004,32,49375,4,4,20.49,Female,West
CUST0005,60,29662,10,37,96.29,Male,South
CUST0006,25,36964,56,21,244.9,Female,North
CUST0007,38,133429,17,14,473.27,Female,North
CUST0008,56,141692,74,31,69.05,Male,North
CUST0009,36,79638,17,48,430.02,Male,South
CUST0010,40,93666,84,18,272.97,Female,West
CUST0011,28,105067,88,7,416.44,Female,West
CUST0012,28,138937,69,10,163.22,Female,West
CUST0013,41,87215,34,7,423.17,Male,East
CUST0014,53,89042,6,33,390.95,Male,East
CUST0015,57,33284,53,23,130.43,Male,East
CUST0016,41,92789,66,21,83.04,Male,South
CUST0017,20,104664,77,19,436.67,Male,East
CUST0018,39,113468,43,48,482.35,Male,South
CUST0019,19,81389,75,19,35.03,Female,West
CUST0020,41,29435,23,36,371.01,Female,East
CUST0021,61,74340,55,29,456.57,Male,East
CUST0022,47,64078,80,18,431.53,Female,North
CUST0023,55,98832,95,2,482.97,Female,South
CUST0024,19,71293,75,1,384.85,Male,West
CUST0025,38,115981,16,47,232.3,Female,North
CUST0026,50,98781,8,5,169.74,Male,North
CUST0027,29,80403,4,20,173.96,Male,West
CUST0028,39,49124,4,11,367.72,Female,North
CUST0029,61,115435,56,42,378.0,Male,South
CUST0030,42,63919,25,2,116.17,Male,South
CUST0031,66,128761,67,3,436.7,Male,East
CUST0032,44,141305,96,23,363.16,Male,North
CUST0033,59,55247,67,12,290.12,Male,East
CUST0034,45,141172,27,20,246.34,Male,North
CUST0035,33,114758,93,5,280.75,Male,South
CUST0036,32,111747,32,37,96.44,Male,South
CUST0037,64,82752,50,38,117.78,Female,South
CUST0038,68,76573,61,30,63.76,Female,North
CUST0039,61,79101,51,9,93.76,Female,South
CUST0040,69,122756,19,34,237.77,Male,North
CUST0041,20,46646,21,44,274.57,Male,East
CUST0042,54,124185,5,35,28.57,Female,North
CUST0043,68,43049,82,22,402.46,Female,East
CUST0044,24,99605,92,44,161.2,Female,North
CUST0045,38,118116,42,24,457.68,Male,East
CUST0046,26,117379,61,17,484.41,Female,South
CUST0047,56,88385,22,10,109.02,Female,East
CUST0048,35,146131,21,30,241.81,Male,South
CUST0049,21,60158,70,46,20.59,Female,South
CUST0050,42,85417,1,23,307.2,Male,East
CUST0051,31,43289,5,32,311.51,Male,North
CUST0052,67,130226,12,17,138.82,Male,North
CUST0053,26,120793,90,50,288.04,Female,West
CUST0054,43,29823,46,51,128.26,Female,North
CUST0055,19,80160,34,17,97.2,Male,West
CUST0056,37,61975,49,14,332.73,Female,North
CUST0057,45,29540,78,9,176.44,Female,North
CUST0058,64,36364,90,40,303.33,Female,South
CUST0059,24,24611,45,2,227.96,Female,West
CUST0060,61,47663,27,45,492.49,Male,North
CUST0061,25,71991,73,25,91.8,Female,West
CUST0062,64,77679,26,39,243.01,Male,South
CUST0063,52,124182,47,9,346.62,Male,South
CUST0064,31,50977,86,22,209.86,Female,West
